Tenative Final,position,rating,nationality,club,gender,age,player_image,image_source_url,image_credit
Kylian Mbappé,ST,91,France,Real Madrid,male,25,kylian-mbappe.jpg,https://www.laliga.com/en-GB/player/kylian-mbappe-lottin,laliga
Jude Bellingham,CAM,90,England,Real Madrid,male,21,jude-bellingham.jpg,https://commons.wikimedia.org/wiki/File:Jude_Bellingham_2022-11-21_1.jpg,"Tasnim News Agency, CC BY 4.0 <https://creativecommons.org/licenses/by/4.0>, via Wikimedia Commons"
Vini Jr.,LW,90,Brazil,Real Madrid,male,24,vini-jr.jpg,https://commons.wikimedia.org/wiki/File:Vinicius_Jr_2021.jpg,"Real Madrid, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons"
Thibaut Courtois,GK,89,Belgium,Real Madrid,male,32,thibaut-courtois.jpg,https://commons.wikimedia.org/wiki/File:Thibaut_Courtois_WC2022.jpg,"Tasnim News Agency, CC BY 4.0 <https://creativecommons.org/licenses/by/4.0>, via Wikimedia Commons"
Federico Valverde,CM,88,Uruguay,Real Madrid,male,26,federico-valverde.jpg,https://commons.wikimedia.org/wiki/File:20171114_AUT_URU_7801_(cropped).jpg,"Ailura, CC BY-SA 3.0 AT, CC BY-SA 3.0 AT <https://creativecommons.org/licenses/by-sa/3.0/at/deed.en>, via Wikimedia Commons"
Antonio Rüdiger,CB,88,Germany,Real Madrid,male,31,antonio-rudiger.jpg,https://commons.wikimedia.org/wiki/File:20180602_FIFA_Friendly_Match_Austria_vs._Germany_Antonio_R%C3%BCdiger_850_0711.jpg,"Granada, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Rodrygo,RW,86,Brazil,Real Madrid,male,23,rodrygo.jpg,https://commons.wikimedia.org/wiki/File:F2_real_madrid_(cropped).jpg,"Real Madrid, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons"
Luka Modrić,CM,86,Croatia,Real Madrid,male,39,luka-modric.jpg,https://commons.wikimedia.org/wiki/File:Luka_Modric_2015.jpg,"Football.ua, CC BY-SA 3.0 GFDL, via Wikimedia Commons"
Carvajal,RB,86,Spain,Real Madrid,male,32,carvajal.jpg,https://commons.wikimedia.org/wiki/File:UEFA_EURO_qualifiers_Sweden_vs_Spain_20191015_Dani_Carvajal_10.jpg,"Rolandhino1, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
David Alaba,CB,85,Austria,Real Madrid,male,32,david-alaba.jpg,https://commons.wikimedia.org/wiki/File:David_Alaba_9004.JPG,"Ailura, CC BY-SA 3.0 AT <https://creativecommons.org/licenses/by-sa/3.0/at/deed.en>, via Wikimedia Commons"
Éder Militão,CB,85,Brazil,Real Madrid,male,26,eder-militao.jpg,https://commons.wikimedia.org/wiki/File:%C3%89der_Gabriel_Milit%C3%A3o_-_Final_da_Copa_Am%C3%A9rica_2019.jpg,"Palácio do Planalto, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons"
Aurélien Tchouaméni,CDM,85,France,Real Madrid,male,24,aurelien-tchouameni.jpg,https://commons.wikimedia.org/wiki/File:Aur%C3%A9lien_Tchouam%C3%A9ni.jpg,"Кирилл Венедиктов, CC BY-SA 3.0 GFDL, via Wikimedia Commons"
Ferland Mendy,LB,84,France,Real Madrid,male,29,ferland-mendy.jpg,https://commons.wikimedia.org/wiki/File:Ferland_Mendy_2017.jpg,"Laura Jonin, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons"
Eduardo Camavinga,CM,83,France,Real Madrid,male,21,eduardo-camavinga.jpg,https://commons.wikimedia.org/wiki/File:Ofrenda_de_la_Liga_y_la_Champions-13-L.Mill%C3%A1n_(52109790215)_(cropped).jpg,"Fotografías Archimadrid.es, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons"
Brahim,CAM,82,Morocco,Real Madrid,male,25,brahim.jpg,https://commons.wikimedia.org/wiki/File:FC_Salzburg_gegen_Manchester_City_FC_(U19_8._Februar_2017)_10.jpg,"Werner100359, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Andriy Lunin,GK,81,Ukraine,Real Madrid,male,25,andriy-lunin.jpg,https://commons.wikimedia.org/wiki/File:Andriy_Lunin.jpg,"Football.ua, CC BY-SA 3.0 GFDL, via Wikimedia Commons"
Lucas Vázquez,RB,81,Spain,Real Madrid,male,33,lucas-vazquez.jpg,https://commons.wikimedia.org/wiki/File:CSKA-RM18_(6).jpg,"Антон Зайцев, CC BY-SA 3.0 GFDL, via Wikimedia Commons"
Dani Ceballos,CM,79,Spain,Real Madrid,male,28,dani-ceballos.jpg,https://commons.wikimedia.org/wiki/File:Dani_Ceballos.jpg,"Антон Зайцев, CC BY-SA 3.0 GFDL, via Wikimedia Commons"
Arda Güler,CAM,78,Turkey,Real Madrid,male,19,arda-guler.jpg,https://commons.wikimedia.org/wiki/File:Derbide_Fenerbah%C3%A7e_Yedek_Oyuncu_Arda_G%C3%BCler_(2021-22_S%C3%BCper_Lig_-_Cropped).jpg,"beIN SPORTS Türkiye, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons"
Mateu Lahoz,ST,99,Spain,Real Madrid,male,47,mateu-lahoz.jpg,"https://commons.wikimedia.org/wiki/File:20191002_Fu%C3%9Fball,_M%C3%A4nner,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0043-2_(cropped).jpg","Steffen Prößdorf, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Martin Odegaard,CM,89,Norway,Arsenal,male,25,martin-odegaard.jpg,https://commons.wikimedia.org/wiki/File:Arsenal_v_Everton_(1)_(cropped).jpg,"Maryland GovPics, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons"
William Saliba,CB,87,France,Arsenal,male,23,william-saliba.jpg,https://commons.wikimedia.org/wiki/File:RC_Lens_-_Arsenal_FC_(03-10-2023)_22.jpg,"Supporterhéninois, CC0, via Wikimedia Commons"
Bukayo Saka,RW,87,England,Arsenal,male,23,bukayo-saka.jpg,https://commons.wikimedia.org/wiki/File:Bukayo_Saka.jpg,"Tasnim News Agency, CC BY 4.0 <https://creativecommons.org/licenses/by/4.0>, via Wikimedia Commons"
Declan Rice,CDM,87,England,Arsenal,male,25,declan-rice.jpg,https://commons.wikimedia.org/wiki/File:2022_FIFA_World_Cup_England_6%E2%80%932_Iran_-_(8)_(Declan_Rice).jpg,"Fars Media Corporation, CC BY 4.0 <https://creativecommons.org/licenses/by/4.0>, via Wikimedia Commons"
Gabriel,CB,86,Brazil,Arsenal,male,26,gabriel.jpg,https://commons.wikimedia.org/wiki/File:RC_Lens_-_Arsenal_FC_(03-10-2023)_9.jpg,"Supporterhéninois, CC0, via Wikimedia Commons"
Mikel Merino,CM,85,Spain,Arsenal,male,28,mikel-merino.jpg,https://commons.wikimedia.org/wiki/File:Miker_Merino_2018_(cropped).jpg,"Giovanni Batista Rodriguez from San Sebastian-Donostia, España, CC BY-SA 2.0 <https://creativecommons.org/licenses/by-sa/2.0>, via Wikimedia Commons"
Benjamin White,RB,84,England,Arsenal,male,26,benjamin-white.jpg,https://commons.wikimedia.org/wiki/File:Ben_White_2015.jpg,"James Boyes from UK, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons"
Kai Havertz,ST,83,Germany,Arsenal,male,25,kai-havertz.jpg,"https://commons.wikimedia.org/wiki/File:2019-06-11_Fu%C3%9Fball,_M%C3%A4nner,_L%C3%A4nderspiel,_Deutschland-Estland_StP_2059_LR10_by_Stepro.jpg","Steffen Prößdorf, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Gabriel Martinelli,LW,83,Brazil,Arsenal,male,23,gabriel-martinelli.jpg,https://commons.wikimedia.org/wiki/File:POST-CARD-MONTAGEM-gabriel-martinelli_(cropped).png,"SOCCER DIGITAL, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
David Raya,GK,83,Spain,Arsenal,male,28,david-raya.jpg,https://commons.wikimedia.org/wiki/File:RC_Lens_-_Arsenal_FC_(03-10-2023)_21.jpg,"Supporterhéninois, CC0, via Wikimedia Commons"
Leandro Trossard,LW,83,Belgium,Arsenal,male,29,leandro-trossard.jpg,https://commons.wikimedia.org/wiki/File:RC_Lens_-_Arsenal_FC_(03-10-2023)_26_(cropped).jpg,"Supporterhéninois, CC0, via Wikimedia Commons"
Gabriel Jesus,ST,82,Brazil,Arsenal,male,27,gabriel-jesus.jpg,https://commons.wikimedia.org/wiki/File:20180610_FIFA_Friendly_Match_Austria_vs._Brazil_Gabriel_Jesus_850_1688.jpg,"Granada, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Jorginho,CDM,82,Italy,Arsenal,male,32,jorginho.jpg,https://commons.wikimedia.org/wiki/File:Chelsea_0_Valencia_1_(48768868096).jpg,"@cfcunofficial (Chelsea Debs) London from London, UK, CC BY-SA 2.0 <https://creativecommons.org/licenses/by-sa/2.0>, via Wikimedia Commons"
Thomas Partey,CDM,82,Ghana,Arsenal,male,31,thomas-partey.jpg,https://commons.wikimedia.org/wiki/File:Loko-AM2018_(10).jpg,"Антон Зайцев, CC BY-SA 3.0 GFDL, via Wikimedia Commons"
Raheem Sterling,LM,81,England,Arsenal,male,29,raheem-sterling.jpg,https://commons.wikimedia.org/wiki/File:Raheem_Sterling_2018.jpg,"Антон Зайцев, CC BY-SA 3.0 GFDL, via Wikimedia Commons"
Kieran Tierney,LB,79,Scotland,Arsenal,male,27,kieran-tierney.jpg,https://commons.wikimedia.org/wiki/File:Kieran_Tierney_(26938128442)_(cropped).jpg,"Graham, CC BY-SA 2.0 <https://creativecommons.org/licenses/by-sa/2.0>, via Wikimedia Commons"
Jurriën Timber,CB,79,Holland,Arsenal,male,23,jurrien-timber.jpg,https://commons.wikimedia.org/wiki/File:GAE_-_Ajax_-_52788075131_(Jurri%C3%ABn_Timber).jpg,"Carlo Bruil Fotografie, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons"
Oleksandr Zinchenko,LB,79,Ukraine,Arsenal,male,27,oleksandr-zinchenko.jpg,https://commons.wikimedia.org/wiki/File:Oleksandr_Zinchenko_2015.jpg,"http://www.soccer.ru/galery/600697/photo/443238, CC BY-SA 3.0 GFDL, via Wikimedia Commons"
Riccardo Calafiori,CB,78,Italy,Arsenal,male,22,riccardo-calafiori.jpg,https://commons.wikimedia.org/wiki/File:2024_Emirates_Cup_-_Riccardo_Calafiori_(2).jpg,"Timmy96, CC0, via Wikimedia Commons"
Neto,GK,78,Brazil,Arsenal,male,35,neto.jpg,https://commons.wikimedia.org/wiki/File:FC_Red_Bull_Salzburg_gegen_CF_Barcelona_(Testspiel_4._August_2021)_64.jpg,"Werner100359, CC0, via Wikimedia Commons"
Alba Redondo,ST,84,Spain,Real Madrid,female,28,alba-redondo.jpg,https://commons.wikimedia.org/wiki/File:Alba_Redondo_(cropped).jpg,"European Parliament, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons"
Caroline Weir,CAM,84,Scotland,Real Madrid,female,29,caroline-weir.jpg,https://commons.wikimedia.org/wiki/File:20170719_WEURO_ENG_SCO_6100.jpg,"Ailura, CC BY-SA 3.0 AT, CC BY-SA 3.0 AT <https://creativecommons.org/licenses/by-sa/3.0/at/deed.en>, via Wikimedia Commons"
Olga Carmona,LB,83,Spain,Real Madrid,female,24,olga-carmona.jpg,https://commons.wikimedia.org/wiki/File:Olga_Carmona_2020_03.png,"Real Madrid, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons"
Antônia Silva,RB,82,Brazil,Real Madrid,female,30,antonia-silva.jpg,"https://commons.wikimedia.org/wiki/File:2023-04-11_Fussball,_Frauen,_L%C3%A4nderspiel,_Deutschland_-_Brasilien_IMG_6005_by_Stepro.jpg","Steffen Prößdorf, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Athenea,RW,82,Spain,Real Madrid,female,23,athenea.jpg,https://commons.wikimedia.org/wiki/File:Athenea_del_Castillo_en_2019.jpg,"Marcos Marín Martín, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Misa,GK,82,Spain,Real Madrid,female,25,misa.jpg,https://commons.wikimedia.org/wiki/File:Misa_Rodriguez_2021_(2).jpg,"Real Madrid, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons"
Melanie Leupolz,CDM,81,Germany,Real Madrid,female,30,melanie-leupolz.jpg,https://commons.wikimedia.org/wiki/File:Melanie_Leupolz_2013_2.jpg,"Thomas Rodenbücher, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons"
Sandie Toletti,CM,81,France,Real Madrid,female,29,sandie-toletti.jpg,https://commons.wikimedia.org/wiki/File:20131031_FR20_Sandie_Toletti_8835.jpg,"Ailura, CC BY-SA 3.0 AT, CC BY-SA 3.0 AT <https://creativecommons.org/licenses/by-sa/3.0/at/deed.en>, via Wikimedia Commons"
Tere Abelleira,CM,80,Spain,Real Madrid,female,24,tere-abelleira.jpg,https://commons.wikimedia.org/wiki/File:Tere_Abelleira_2021.jpg,"Real Madrid, CC BY 3.0 <https://creativecommons.org/licenses/by/3.0>, via Wikimedia Commons"
Stephanie Frappart,ST,99,France,Real Madrid,female,41,stephanie-frappart.jpg,https://commons.wikimedia.org/wiki/File:St%C3%A9phanie_Frappart_(cropped).jpg,"Anders Henrikson, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons"
Beth Mead,RW,88,England,Arsenal,female,29,beth-mead.jpg,https://commons.wikimedia.org/wiki/File:Beth_Mead.jpg,"James Boyes from UK, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons"
Kim Little,CM,86,Scotland,Arsenal,female,34,kim-little.jpg,https://commons.wikimedia.org/wiki/File:Kim_Little_20191016.jpg,"El Loko Foto, CC BY 4.0 <https://creativecommons.org/licenses/by/4.0>, via Wikimedia Commons"
Caitlin Foord,LW,85,Australia,Arsenal,female,29,caitlin-foord.jpg,https://commons.wikimedia.org/wiki/File:Foord_arsenal.jpg,"Suzanne Lycett, CC BY-SA 2.0 <https://creativecommons.org/licenses/by-sa/2.0>, via Wikimedia Commons"
Katie McCabe,LB,85,Republic of Ireland,Arsenal,female,28,katie-mccabe.jpg,https://commons.wikimedia.org/wiki/File:McCabe_Arsenal.jpg,"Suzanne Lycett, CC BY-SA 2.0 <https://creativecommons.org/licenses/by-sa/2.0>, via Wikimedia Commons"
Alessia Russo,ST,85,England,Arsenal,female,25,alessia-russo.jpg,https://commons.wikimedia.org/wiki/File:Alessia_Russo_Lewes_FC_Women_1_Manchester_Utd_Women_3_FAC_QF_19_03_2023-2137_(52760248143).jpg,"James Boyes from UK, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons"
Leah Williamson,CB,85,England,Arsenal,female,27,leah-williamson.jpg,https://commons.wikimedia.org/wiki/File:Leah_Williamson_20191016.jpg,"El Loko Foto, CC BY 4.0 <https://creativecommons.org/licenses/by/4.0>, via Wikimedia Commons"
Mariona,LW,84,Spain,Arsenal,female,28,mariona.jpg,https://commons.wikimedia.org/wiki/File:Brann_-_Bar%C3%A7a_Femen%C3%AD_CG3A5801.jpg,"MichaelEmilio, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
Amanda Ilestedt,CB,84,Sweden,Arsenal,female,31,amanda-ilestedt.jpg,https://commons.wikimedia.org/wiki/File:Amandailestedt_arsenal_home.jpg,"Suzanne Lycett, CC BY-SA 2.0 <https://creativecommons.org/licenses/by-sa/2.0>, via Wikimedia Commons"
Manuela Zinsberger,GK,84,Austria,Arsenal,female,28,manuela-zinsberger.jpg,https://commons.wikimedia.org/wiki/File:20131031_AT01_Manuela_Zinsberger_(cropped).jpg,"20131031_Gruppenbild_AT_8884.jpg: Ailuraderivative work: ElRaki, CC BY-SA 3.0 AT <https://creativecommons.org/licenses/by-sa/3.0/at/deed.en>, via Wikimedia Commons"
Steph Catley,LB,83,Australia,Arsenal,female,30,steph-catley.jpg,https://commons.wikimedia.org/wiki/File:AusChi3_-_Catley3_(51556665199).jpg,"LittleBlinky, CC BY-SA 2.0 <https://creativecommons.org/licenses/by-sa/2.0>, via Wikimedia Commons"